,category,headline,authors,link,short_description,date
11,IMPACT,"With Its Way Of Life At Risk, This Remote Oyster-Growing Region Called In Robots",Karen Pinchin,https://www.huffingtonpost.com/entry/remote-oyster-growing-region-called-in-robots_us_5b083658e4b0fdb2aa53415d,The revolution is coming to rural New Brunswick.,2018-05-26
12,POLITICS,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System,Elise Foley and Roque Planas,https://www.huffingtonpost.com/entry/immigrant-children-separated-from-parents_us_5b087b90e4b0802d69cb4070,"Last month a Health and Human Services official revealed the government was unable to locate nearly 1,500 children who had been released from its custody.",2018-05-26
13,POLITICS,'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.,"Michael Isikoff, Yahoo News",https://www.huffingtonpost.com/entry/fbi-wiretaps-putin-ally-trump-jr_us_5b08bf56e4b0568a880b7859,"The wiretaps feature conversations between Alexander Torshin and Alexander Romanov, a convicted Russian money launderer.",2018-05-26
14,POLITICS,Edward Snowden: There's No One Trump Loves More Than Vladimir Putin,Mary Papenfuss,https://www.huffingtonpost.com/entry/edward-snowden-trump-loves-putin_us_5b08ae41e4b0568a880b7451,"But don't count on Robert Mueller to nail him, the NSA whistleblower warns.",2018-05-26
15,POLITICS,Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim,Mary Papenfuss,https://www.huffingtonpost.com/entry/obama-photog-pete-souza-trolls-trump-spy-claim_us_5b08f77ee4b0568a880b8752,Just a peeping minute.,2018-05-26
16,POLITICS,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Laura Bassett,https://www.huffingtonpost.com/entry/results-for-irelands-historic-abortion-referendum-show-yes-vote-leads_us_5b086497e4b0802d69cb2cff,Irish women will no longer have to travel to the United Kingdom to end their pregnancies.,2018-05-26
17,POLITICS,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation,Chris D'Angelo,https://www.huffingtonpost.com/entry/ryan-zinke-reel-back-critics-grand-pivot-conservation_us_5b086c78e4b0fdb2aa538b3f,The interior secretary attempts damage control with hunting and fishing groups that didn’t like his fossil fuel focus.,2018-05-26
18,POLITICS,Trump's Scottish Golf Resort Pays Women Significantly Less Than Men: Report,Mary Papenfuss,https://www.huffingtonpost.com/entry/trump-scottish-golf-resort-pays-women-less-than-men_us_5b08ca29e4b0802d69cb4d37,And there are four times as many male as female executives.,2018-05-26
19,ENTERTAINMENT,Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining,Andy McDonald,https://www.huffingtonpost.com/entry/twitter-put-star-wars-in-other-films_us_5b098875e4b0568a880be92c,"There's no such thing as too much ""Star Wars.""",2018-05-26
20,POLITICS,"Jack Johnson Was Pardoned, But Taboo Sex Is Still Being Criminalized",Jenavieve Hatch,https://www.huffingtonpost.com/entry/jack-johnson-taboo-sex-criminalized_us_5b08718be4b0802d69cb376a,A new law to fight sex trafficking targets some of the people it ostensibly aims to protect.,2018-05-25
21,CRIME,Rachel Dolezal Faces Felony Charges For Welfare Fraud,Carla Herreria,https://www.huffingtonpost.com/entry/rachel-dolezal-charged-welfare-fraud_us_5b075ffae4b0568a8809a8c4,"State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance.",2018-05-25
22,POLITICS,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus',Carol Kuruvilla,https://www.huffingtonpost.com/entry/bishop-michael-curry-joins-christian-march-to-white-house-to-reclaim-jesus_us_5b07261ae4b0fdb2aa51b060,"For Curry and others, being Christian means rejecting white nationalism and misogyny, while protecting immigrants, refugees and the poor.",2018-05-25
23,ENTERTAINMENT,"Kanye West Spent $85,000 On Photo Of Whitney Houston's Bathroom For Album Cover",Cole Delbyck,https://www.huffingtonpost.com/entry/kanye-west-spent-85000-on-infamous-whitney-houston-photo-for-album-cover_us_5b08050be4b0fdb2aa52c2e7,"Pusha T's album, produced by West, features a photo of the late singer's bathroom.",2018-05-25
24,WOMEN,Morgan Freeman Dropped From Marketing Campaigns After Harassment Accusations,Mary Papenfuss,https://www.huffingtonpost.com/entry/morgan-freeman-sexual-harassment-sponsors-flee_us_5b078509e4b0802d69c99037,Both Visa and Vancouver's public transit system have suspended work with him.,2018-05-25
25,POLITICS,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today,Marina Fang,https://www.huffingtonpost.com/entry/chinese-exclusion-act-immigration-politics_us_5b06a90fe4b05f0fc84552cf,The Chinese Exclusion Act barely gets mentioned in U.S. history classes. A new PBS documentary from directors Ric Burns and Li-Shin Yu could change that.,2018-05-25
26,COMEDY,Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter,Ed Mazza,https://www.huffingtonpost.com/entry/trump-maga-swimsuits_us_5b07ae38e4b0802d69c9aae9,"""Does this swimsuit make me look racist?""",2018-05-25
27,COMEDY,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit,Ron Dicker,https://www.huffingtonpost.com/entry/seth-meyers-donald-trump-north-korea_us_5b07cfb3e4b0802d69c9ea1f,There goes the one token of his appreciation.,2018-05-25
28,COMEDY,Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Punishment,Ed Mazza,https://www.huffingtonpost.com/entry/stephen-colbert-michael-cohen-taxi-king_us_5b07654de4b0fdb2aa51da46,"The ""Late Show"" host takes on Michael Cohen and his ""taxi king"" business partner.",2018-05-25
29,CRIME,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's",Jenna Amatulli,https://www.huffingtonpost.com/entry/man-knife-stun-gun-muslim-students_us_5b084cece4b0802d69cb1ba8,"“We thought we were going to die,"" one of the students said.",2018-05-25
30,COMEDY,Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry',Ron Dicker,https://www.huffingtonpost.com/entry/jimmy-kimmel-ayatollah-tom-and-jerry_us_5b07e22ae4b0fdb2aa5284e2,The host reimagined the cartoon after Ayatollah Ali Khamenei brought up the cat and mouse in defiance of U.S. threats.,2018-05-25
31,CRIME,2 People Injured In Indiana School Shooting,Marina Fang,https://www.huffingtonpost.com/entry/indiana-middle-school-active-shooter_us_5b0811c2e4b0802d69ca90f2,"A male student, believed to be the suspect, has been detained, according to police.",2018-05-25
32,ENTERTAINMENT,People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman,Jenna Amatulli,https://www.huffingtonpost.com/entry/nigerian-man-looks-like-chadwick-boseman_us_5b086b56e4b0fdb2aa538a92,Suleiman Abdulfatai looks like he could be the actor's long-lost brother.,2018-05-25
33,ENTERTAINMENT,David Cross Proves Yet Again That He’s Terrible At Apologizing,Elyse Wanshel,https://www.huffingtonpost.com/entry/david-cross-terrible-at-apologizing-jessica-walter_us_5b0813d8e4b0802d69ca9787,The comedian suggested Jessica Walter was also abusive on set after saying he’d apologize for defending Jeffrey Tambor.,2018-05-25
34,ENTERTAINMENT,'Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film,Andy McDonald,https://www.huffingtonpost.com/entry/sesame-street-creators-sue-puppet-film-happytime-murders_us_5b0860fae4b0802d69cb2944,“The Happytime Murders” refers to the classic show in its tagline.,2018-05-25
35,ENTERTAINMENT,What You Missed About The Saddest Death In 'Avengers: Infinity War',Bill Bradley,https://www.huffingtonpost.com/entry/saddest-death-avengers-infinity-war_us_5af9dc8de4b0200bcab7d3e0,Directors Joe and Anthony Russo answer our most pressing questions.,2018-05-25
36,ENTERTAINMENT,George Takei Accuser Walks Back Story Of Drugging And Sexual Assault,Cole Delbyck,https://www.huffingtonpost.com/entry/george-takei-accuser-walks-back-story-of-drugging-and-sexual-assault_us_5b0816a9e4b0802d69caa3f8,"The ""Star Trek"" actor was accused of groping a model 36 years ago.",2018-05-25
37,ENTERTAINMENT,Samantha Bee's Parents Think America Is Basically A War Zone,Andy McDonald,https://www.huffingtonpost.com/entry/samantha-bee-parents-canadians-america_us_5b083ea4e4b0568a880b29d2,Her dad even sent her a Kevlar vest.,2018-05-25
38,ENTERTAINMENT,Pete Davidson Says His Mental Illness Doesn't Ruin Romance,Ron Dicker,https://www.huffingtonpost.com/entry/pete-davidson-mental-illness-dating_us_5b07daf1e4b0568a880a3e16,"The ""SNL"" star reacted to criticism that he shouldn't date Ariana Grande because of his borderline personality disorder.",2018-05-25
39,ENTERTAINMENT,James Corden And Adam Levine Get Pulled Over During 'Carpool Karaoke',Ed Mazza,https://www.huffingtonpost.com/entry/james-corden-adam-levine-carpool-karaoke-pulled-over_us_5b07b025e4b0fdb2aa5206b9,It was bound to happen.,2018-05-25
40,ENTERTAINMENT,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene,Ron Dicker,https://www.huffingtonpost.com/entry/emilia-clarke-game-of-thrones-final-scne_us_5b08137fe4b0568a880ac1af,Now we're really curious about the farewell season.,2018-05-25
41,ENTERTAINMENT,Hollywood Doesn't Need 'Difficult' Men To Make Great TV,Emma Gray,https://www.huffingtonpost.com/entry/hollywood-doesnt-need-difficult-men-to-make-great-tv_us_5b080bcce4b0568a880aa6d9,"""Crazy Ex-Girlfriend's"" Vella Lovell pushes back on what old-school male actors see as the ""norm.""",2018-05-25
42,ENTERTAINMENT,Harvey Weinstein Accusers Say They Never Thought He Would Be Arrested,Marina Fang,https://www.huffingtonpost.com/entry/harvey-weinstein-accusers-reactions-arrest_us_5b07f755e4b0568a880a79b8,Some of the actresses who came forward with sexual assault claims against the once powerful Hollywood mogul responded with both surprise and relief.,2018-05-25
43,ENTERTAINMENT,Harvey Weinstein Turns Himself In To Police For Alleged Sex Crimes,Sara Boboltz,https://www.huffingtonpost.com/entry/harvey-weinstein-arrested_us_5a020edee4b04e96f0c5f916,The bombshell sexual harassment accusations against Weinstein sparked the Me Too movement.,2018-05-25
44,ENTERTAINMENT,John Mayer's Weird New Low-Budget Video Is A Meme-Worthy Masterpiece,Ed Mazza,https://www.huffingtonpost.com/entry/john-mayer-new-light-video_us_5b0780d6e4b0568a8809b6fa,"Mayer's hilariously strange ""New Light"" video even spells his name wrong.",2018-05-25
45,ENTERTAINMENT,Now Boba Fett Is Getting His Own 'Star Wars' Movie,Ed Mazza,https://www.huffingtonpost.com/entry/boba-fett-movie_us_5b07991fe4b0fdb2aa51f2dd,An Obi-Wan Kenobi film is also reportedly in development.,2018-05-25
46,POLITICS,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report,Mary Papenfuss,https://www.huffingtonpost.com/entry/roger-stone-damaging-clinton-emails-wikileaks_us_5b073dc7e4b0802d69c979d7,"Stone's contact with Julian Assange reportedly told him he couldn't ask WikiLeaks favors ""every other day.""",2018-05-25
47,POLITICS,Publix Suspends Contributions To NRA-Backed Politician Amid Protests,Sebastian Murdock,https://www.huffingtonpost.com/entry/publix-suspends-contributions-to-nra-backed-politician-amid-protests_us_5b086551e4b0fdb2aa5387d7,"""Publix knows we're not going away,"" one gun-control activist said.",2018-05-25
48,POLITICS,"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says",Mary Papenfuss,https://www.huffingtonpost.com/entry/twitter-bots-may-have-delivered-donald-trumps-victory-research-finds_us_5b07a231e4b0568a8809c66a,"“Our results suggest that, given narrow margins of victories in each vote, bots’ effect was likely marginal but possibly large enough to affect the outcomes.""",2018-05-25
49,POLITICS,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,Andy Campbell,https://www.huffingtonpost.com/entry/far-right-proud-boys-menaced-twitter-user-on-his-doorstep_us_5b06de68e4b07c4ea1060e92,"A videographer made fun of the far-right extremist group online, so they showed up at his house.",2018-05-25
50,POLITICS,All The Things The NRA Has Blamed For The Texas School Shooting,Jennifer Bendery,https://www.huffingtonpost.com/entry/nra-santa-fe-school-shooting_us_5b05c2eae4b07c4ea104731e,Godlessness. Too many doors in schools. Ritalin. Guess what's not on the list?,2018-05-25
51,POLITICS,Here's What Happens When A Catholic Hospital Won't Try To Save You,Molly Redden,https://www.huffingtonpost.com/entry/catholic-hospitals-refuse-to-treat_us_5b06c82fe4b05f0fc8458db3,Catholic hospital systems are pushing Trump to expand “conscience rights” – even though faith-based medicine has nearly killed some of their patients.,2018-05-25
52,POLITICS,Trump's New Executive Orders Make It Easier To Fire Federal Workers,Antonia Blumberg,https://www.huffingtonpost.com/entry/trump-signs-executive-orders-making-it-easier-to-fire-federal-workers_us_5b087a5de4b0568a880b6d36,Unions denounced the president's actions an “assault on democracy.”,2018-05-25
53,IMPACT,Monsanto And Bayer Are Set To Merge. Here's Why You Should Care.,"Arthur Neslen, On Assignment For HuffPost",https://www.huffingtonpost.com/entry/monsanto-bayer-merge_us_5afeef96e4b07309e0578b5e,“Together they will influence markets all over the world on a scale we’ve never seen before.”,2018-05-25
54,WOMEN,The Joy Of Watching Harvey Weinstein’s Perp Walk,Emma Gray,https://www.huffingtonpost.com/entry/joy-watching-harvey-weinstein-perp-walk_us_5b0823c3e4b0fdb2aa531c7c,There's a delicious schadenfreude in seeing a powerful abuser finally held accountable.,2018-05-25
55,WOMEN,The 20 Funniest Tweets From Women This Week,Hollis Miller,https://www.huffingtonpost.com/entry/the-20-funniest-tweets-from-women-this-week_us_5b073424e4b0fdb2aa51c3e7,"""Welcome to adulthood. You have a favorite spatula now.""",2018-05-25
56,POLITICS,Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming',Jenna Amatulli,https://www.huffingtonpost.com/entry/michelle-obama-cover-memoir-becoming_us_5b06c7f2e4b05f0fc8458cb4,"""The process of writing this book has been so personally meaningful and illuminating for me.""",2018-05-24
57,COMEDY,'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need,Lee Moran,https://www.huffingtonpost.com/entry/royal-wedding-amber-ruffin-late-night-seth-meyers_us_5b069782e4b07c4ea105652d,"“Then he bites his lip, like, ‘Hmm, girl.’”",2018-05-24
58,WOMEN,Morgan Freeman Accused Of Inappropriate Behavior And Sexual Harassment,Sebastian Murdock,https://www.huffingtonpost.com/entry/women-accuse-morgan-freeman-of-harassment_us_5b06d4cde4b0784cd2b26818,Eight people told CNN that they were victims of harassment and inappropriate behavior by the actor.,2018-05-24
59,SPORTS,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,Ron Dicker,https://www.huffingtonpost.com/entry/jets-christopher-johnson-wont-fine-players-for-anthem-protests_us_5b069e29e4b05f0fc8453d6f,"“I never want to put restrictions on the speech of our players.""",2018-05-24
60,ENTERTAINMENT,Andy Cohen And Taylor Swift Are Over Their Katy Perry Drama,Carly Ledbetter,https://www.huffingtonpost.com/entry/andy-cohen-taylor-swift-repaired-relationship_us_5b0598b1e4b0784cd2b0b80a,"No ""Bad Blood"" here.",2018-05-24
61,ENTERTAINMENT,'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline,Andy McDonald,https://www.huffingtonpost.com/entry/infinity-war-timeline-answers_us_5b06b703e4b05f0fc8456887,Stephen McFeely and Christopher Markus clarify when Thanos may have acquired the Infinity Gauntlet.,2018-05-24
62,ENTERTAINMENT,David Blaine Chews Glass And Lets James Corden Puncture His Cheek,Ron Dicker,https://www.huffingtonpost.com/entry/david-blaine-james-corden_us_5b06c501e4b07c4ea105b601,"Sure it's gross, but you're still here.",2018-05-24
63,ENTERTAINMENT,Amy Poehler: A 'Parks And Recreation' Revival Would Be 'Amazing',Curtis M. Wong,https://www.huffingtonpost.com/entry/amy-poehler-parks-and-recreation-revival_us_5b06e39de4b07c4ea1061910,Co-star Nick Offerman also seemed on board... under one (incredible) condition.,2018-05-24
64,COMEDY,Colbert Exposes The Biggest Flaw In Trump’s Latest Conspiracy Theory,Ed Mazza,https://www.huffingtonpost.com/entry/stephen-colbert-flaw-trump-conspiracy-theory_us_5b060ef2e4b0784cd2b11824,"Colbert follows Trump ""down the rabbit hole.""",2018-05-24
65,COMEDY,Seth Meyers Gives Donald Trump Some Valuable Marketing Advice,Lee Moran,https://www.huffingtonpost.com/entry/seth-meyers-donald-trump-spygate-claims_us_5b067e7ae4b0784cd2b17e11,"“Stop trying to make ‘Fetch’ happen.""",2018-05-24
66,BUSINESS,"U.S. Launches Auto Import Probe, China Vows To Defend Its Interests","David Shepardson and Jeff Mason, Reuters",https://www.huffingtonpost.com/entry/trump-auto-probe-china-tariffs_us_5b067d30e4b07c4ea105063a,The investigation could lead to new U.S. tariffs similar to those imposed on imported steel and aluminum in March.,2018-05-24
67,POLITICS,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims,Ed Mazza,https://www.huffingtonpost.com/entry/donald-trump-tomi-lahren-tweet_us_5b064e26e4b07c4ea104b9bf,"""Trump's more concerned about Tomi Lahren being splashed with water than Flint still being entirely without safe water.""",2018-05-24
68,POLITICS,Trump Abruptly Cancels North Korea Summit With Kim Jong Un,Marina Fang and Nick Robins-Early,https://www.huffingtonpost.com/entry/donald-trump-cancels-summit-kim-jong-un_us_5b06c1d9e4b07c4ea105b0f0,Trump cited North Korea’s “tremendous anger and open hostility” in calling off the June 12 Singapore meeting.,2018-05-24
69,POLITICS,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party,Ed Mazza,https://www.huffingtonpost.com/entry/devin-nunes-wine-yacht-lawsuit_us_5b062622e4b0784cd2b12049,"The lawmaker is reportedly one of at least 50 investors in the winery, though the company said they were not involved in the party.",2018-05-24
70,POLITICS,"Immigrant Children Accuse Border Patrol Of Abuse And Neglect, Report Shows",Willa Frej,https://www.huffingtonpost.com/entry/immigrant-children-border-patrol-abuse_us_5b0685c7e4b07c4ea1051ef1,"One 16-year-old filed a complaint alleging that a Border Patrol agent ""threw him down and smashed his head into the ground with his boot.""",2018-05-24
71,POLITICS,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit,Laura Bassett,https://www.huffingtonpost.com/entry/irelands-historic-abortion-vote-haunted-trump-brexit_us_5b06d25ae4b05f0fc845b572,American influence could tip the referendum.,2018-05-24
72,POLITICS,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant,Igor Bobic and Ryan J. Reilly,https://www.huffingtonpost.com/entry/doj-meeting-trump-fbi_us_5b06e0f4e4b07c4ea10613b3,"Emmet Flood, the White House attorney dealing with the Russia probe, was present at a controversial DOJ meeting about the investigation.",2018-05-24
73,POLITICS,"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’",Jennifer Bendery,https://www.huffingtonpost.com/entry/wendy-vitter-abortion-trump-judge_us_5afd8918e4b06a3fb50e5c68,Every Republican on the judiciary committee voted for Wendy Vitter.,2018-05-24
74,POLITICS,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get ‘Spygate’ Report,S.V. Date,https://www.huffingtonpost.com/entry/trump-giuliani-north-korea-mueller_us_5b06f625e4b05f0fc8460d6b,The canceled North Korea summit doesn’t mean the president will be talking to the special counsel anytime soon.,2018-05-24
75,POLITICS,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,Nina Golgowski,https://www.huffingtonpost.com/entry/judge-candidate-danny-alvarez-dies_us_5b06aee4e4b05f0fc84557c3,"Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville.",2018-05-24
76,POLITICS,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,Lee Moran,https://www.huffingtonpost.com/entry/chrissy-teigen-donald-trump-twitter-blocked_us_5b066140e4b07c4ea104cd97,"Other tweeters, including Mexico's former president Vicente Fox, also poked fun at Trump over the news.",2018-05-24
77,POLITICS,The Koch Network Is Going After One Of Trump’s Favorite Congressmen,Kevin Robillard,https://www.huffingtonpost.com/entry/koch-brothers-going-after-trump-favorite-congressmen_us_5b05a75ae4b07c4ea10458f8,The billionaire Koch brothers’ political network wants to show it will punish Republicans who don’t support its agenda.,2018-05-24
78,SPORTS,Trump Posthumously Pardons Boxer Jack Johnson,Lydia O'Connor,https://www.huffingtonpost.com/entry/trump-pardons-late-boxing-champion-jack-johnson_us_5b06eea4e4b07c4ea10630c8,The pardoning of the black heavyweight boxer is only the third posthumous pardon in U.S. history.,2018-05-24
79,ENTERTAINMENT,Ellen Tears Up When Ashton Kutcher Donates $4 Million To Her Wildlife Fund,Andy McDonald,https://www.huffingtonpost.com/entry/ellen-tears-up-ashton-kutcher-donates-4-million_us_5b06e8cce4b07c4ea10625b7,She even got to personally push the button to transfer the funds.,2018-05-24
80,ENTERTAINMENT,Ariana Grande Reveals Bee Tattoo In Honor Of The Manchester Attack,Elyse Wanshel,https://www.huffingtonpost.com/entry/ariana-grande-reveals-bee-tattoo-in-honor-of-the-manchester-attack_us_5b05ca75e4b05f0fc84443dd,The bee is the symbol of the city and is incorporated into the Manchester coat of arms.,2018-05-24
81,ENTERTAINMENT,"Kim Kardashian Wished Kanye West A Happy Anniversary And, Fine, It's Pretty Cute",Cole Delbyck,https://www.huffingtonpost.com/entry/kim-kardashian-wished-kanye-west-happy-anniversary_us_5b06ed58e4b05f0fc845ff3f,"""4 years down and forever to go....""",2018-05-24
82,ENTERTAINMENT,Chris Hemsworth Dances 'Wrecking Ball' With His Kids In The Living Room,Andy McDonald,https://www.huffingtonpost.com/entry/chris-hemsworth-dances-wrecking-ball-with-his-kids-in-the-living-room_us_5b06b81ae4b0784cd2b2192e,What a god.,2018-05-24
83,ENTERTAINMENT,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse,Ron Dicker,https://www.huffingtonpost.com/entry/moses-farrow-mia-farrow-abuse_us_5b0681ace4b07c4ea10510c2,"Dylan Farrow called her brother's essay ""beyond hurtful"" and ""easily disproven.""",2018-05-24
84,ENTERTAINMENT,Gwyneth Paltrow Says Brad Pitt Threatened To Kill Harvey Weinstein,Cole Delbyck,https://www.huffingtonpost.com/entry/gwyneth-paltrow-says-brad-pitt-threatened-to-kill-harvey-weinstein_us_5b06b96be4b07c4ea105a122,"The film producer allegedly made advances on her years ago, but her then-boyfriend made sure it didn't happen again.",2018-05-24
85,ENTERTAINMENT,Stephen King Reveals Why Donald Trump Blocked Him On Twitter,Ed Mazza,https://www.huffingtonpost.com/entry/stephen-king-donald-trump-twitter-block_us_5b066b6ce4b07c4ea104e231,"The horror master also took on ""creepy"" Mike Pence: ""He has that look.""",2018-05-24
86,ENTERTAINMENT,Fans Back Jessica Walter After She Addressed Verbal Harassment By Jeffrey Tambor,Jenna Amatulli,https://www.huffingtonpost.com/entry/fans-support-jessica-walter-after-she-addressed-verbal-harassment-from-jeffrey-tambor_us_5b06fa2de4b07c4ea1064378,"""We should be grieving with Jessica Walter. That shouldn't have happened to her.""",2018-05-24
87,ENTERTAINMENT,Jessica Walter Discusses Jeffrey Tambor's Alleged Harassment While Male Co-Stars Brush It Off,Antonia Blumberg,https://www.huffingtonpost.com/entry/jessica-walter-jeffrey-tambor-harassment_us_5b05e5e3e4b05f0fc84460e5,"""In like almost 60 years of working, I’ve never had anybody yell at me like that on a set,"" the actress said.",2018-05-24
88,ENTERTAINMENT,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes,Sara Boboltz,https://www.huffingtonpost.com/entry/harvey-weinstein-plans-to-turn-himself-in-friday_us_5b07121ee4b07c4ea10666d1,Authorities in New York have been investigating the former producer for alleged sexual abuse and harassment.,2018-05-24
89,COMEDY,Samantha Bee Torches ICE: 'Let's Shut It The F**k Down',Lee Moran,https://www.huffingtonpost.com/entry/samantha-bee-ice-donald-trump_us_5b065a91e4b05f0fc8448e14,"""I’m serious. It’s awful. And we don’t actually need it.""",2018-05-24
90,POLITICS,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men ‘Property Rights’ Over Fetuses,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/scott-pruitt-abortion_us_5b06ce55e4b05f0fc845a4aa,"Before he was Trump's embattled EPA chief, Pruitt was a state politician who backed draconian abortion restrictions.",2018-05-24
91,POLITICS,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,David Moye,https://www.huffingtonpost.com/entry/twitter-mocks-trump-summit-cancellation_us_5b06e058e4b07c4ea10612b2,"""Pot meet kettle.""",2018-05-24
92,POLITICS,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,Jennifer Bendery,https://www.huffingtonpost.com/entry/civil-rights-groups-senate-bill-sexual-harassment-policy_us_5b0714e3e4b07c4ea1066816,"The bill would let lawmakers hide past offenses and only be punished for ""severe or pervasive"" harassment, the ACLU said.",2018-05-24
93,POLITICS,Alabama Sues To Exclude Undocumented Immigrants From Census Count,Sam Levine,https://www.huffingtonpost.com/entry/alabama-census-undocumented-immigrants_us_5b07028ee4b05f0fc84629a7,Legal experts say the suit has some big flaws.,2018-05-24
